mst_card_id,mst_idol_id,mst_costume_id,bonus_costume_id,rank5_costume_id,resource_id,rarity,idol_type,level_max,life,vocal_base,vocal_max,vocal_master_bonus,dance_base,dance_max,dance_master_bonus,visual_base,visual_max,visual_master_bonus,skill_level_max,awakening_gauge_max,master_rank_max,cheer_point,mst_center_effect_id,mst_card_skill_id_list,ex_type,variation,master_lesson_begin_date,training_item_list,begin_date,sort_id,card_category,extend_card_level_max,extend_card_life,extend_card_vocal_max,extend_card_vocal_master_bonus,extend_card_dance_max,extend_card_dance_master_bonus,extend_card_visual_max,extend_card_visual_master_bonus,is_master_lesson_five_available,barrier_mission_list,training_point,sign_type,sign_type2
1,1,0,0,0,001har0011,1,1,30,25,1138,3415,102,639,1916,57,859,2577,77,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,1000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
2,2,0,0,0,002chi0011,1,2,30,25,1202,3605,108,891,2674,80,598,1795,54,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,2000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
3,3,0,0,0,003mik0011,1,3,30,25,866,2598,78,603,1810,54,1152,3455,104,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,3000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
4,4,0,0,0,004yuk0011,1,1,30,25,875,2625,79,886,2657,80,913,2739,82,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,4000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
5,5,0,0,0,005yay0011,1,3,30,25,784,2351,71,1084,3253,98,934,2801,84,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,5000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
6,6,0,0,0,006mak0011,1,1,30,25,681,2044,61,1201,3603,108,909,2727,82,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,6000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
7,7,0,0,0,007ior0011,1,2,30,25,896,2688,81,858,2573,77,902,2705,81,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,7000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
8,8,0,0,0,008tak0011,1,2,30,25,1172,3517,106,640,1919,58,921,2764,83,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,8000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
9,9,0,0,0,009rit0011,1,2,30,25,669,2008,60,1186,3557,107,883,2650,80,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,9000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
10,10,0,0,0,010azu0011,1,3,30,25,1126,3378,101,636,1908,57,893,2680,80,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,10000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
11,11,0,0,0,011ami0011,1,3,30,25,867,2601,78,940,2821,85,899,2698,81,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,11000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
12,12,0,0,0,012mam0011,1,3,30,25,910,2731,82,925,2775,83,858,2575,77,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,12000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
13,13,0,0,0,013hib0011,1,1,30,25,893,2680,80,1126,3377,101,620,1860,56,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,13000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
14,14,0,0,0,014mir0011,1,1,30,25,909,2728,82,918,2753,83,909,2728,82,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,14000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
15,15,0,0,0,015siz0011,1,2,30,25,1127,3380,101,677,2030,61,935,2806,84,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,15000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
16,16,0,0,0,016tsu0011,1,3,30,25,812,2436,73,879,2638,79,1081,3243,97,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,16000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
17,18,0,0,0,018ele0011,1,3,30,25,669,2006,60,1142,3426,103,881,2644,79,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,18000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
18,19,0,0,0,019min0011,1,1,30,25,1130,3390,102,887,2660,80,625,1876,56,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,19000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
19,20,0,0,0,020meg0011,1,2,30,25,597,1791,54,1210,3630,109,912,2736,82,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,20000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
20,21,0,0,0,021mat0011,1,1,30,25,949,2846,85,667,2000,60,1143,3430,103,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,21000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
21,22,0,0,0,022ser0011,1,3,30,25,944,2833,85,898,2693,81,910,2729,82,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,22000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
22,23,0,0,0,023aka0011,1,3,30,25,884,2652,80,999,2996,90,738,2214,66,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,23000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
23,24,0,0,0,024ann0011,1,3,30,25,888,2665,80,597,1792,54,1156,3469,104,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,24000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
24,25,0,0,0,025roc0011,1,2,30,25,871,2614,78,873,2619,79,873,2618,79,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,25000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
25,26,0,0,0,026yur0011,1,1,30,25,658,1974,59,1143,3430,103,935,2806,84,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,26000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
26,27,0,0,0,027say0011,1,1,30,25,933,2798,84,937,2811,84,937,2812,84,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,27000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
27,28,0,0,0,028ari0011,1,1,30,25,934,2802,84,872,2615,78,925,2775,83,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,28000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
28,29,0,0,0,029umi0011,1,1,30,25,649,1948,58,920,2759,83,1176,3528,106,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,29000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
29,30,0,0,0,030iku0011,1,1,30,25,814,2443,73,1076,3228,97,928,2783,83,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,30000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
30,31,0,0,0,031tom0011,1,2,30,25,922,2767,83,734,2202,66,1042,3125,94,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,31000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
31,32,0,0,0,032emi0011,1,1,30,25,762,2285,69,944,2832,85,1009,3027,91,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,32000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
32,33,0,0,0,033sih0011,1,2,30,25,1205,3615,108,601,1803,54,928,2784,84,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,33000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
33,34,0,0,0,034ayu0011,1,2,30,25,614,1841,55,1210,3631,109,932,2796,84,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,34000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
34,35,0,0,0,035hin0011,1,3,30,25,1207,3620,109,917,2752,83,637,1911,57,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,35000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
35,36,0,0,0,036kan0011,1,1,30,25,1215,3646,109,677,2030,61,870,2611,78,10,100,4,0,0,,0,1,0001-01-01T00:00:00+0000,,2018-01-01T00:00:00+0800,36000,10,0,0,0,0,0,0,0,0,FALSE,,0,0,0
