mst_card_skill_id,effect_id,duration,evaluation,evaluation2,interval,probability_base,value,value2
102,1,5,1,0,7,30,20,0
103,1,6,1,0,9,30,20,0
105,1,5,1,0,9,30,26,0
106,1,6,1,0,11,30,26,0
107,1,7,1,0,13,30,26,0
108,1,3,1,0,7,35,26,0
109,1,4,1,0,9,35,26,0
110,1,5,1,0,11,35,26,0
111,1,6,1,0,13,35,26,0
112,1,4,2,0,7,30,30,0
113,1,5,2,0,9,30,30,0
114,1,6,2,0,11,30,30,0
115,1,7,2,0,13,30,30,0
117,1,4,2,0,9,35,30,0
118,1,5,2,0,11,35,30,0
119,1,6,2,0,13,35,30,0
120,1,5,2,0,10,30,30,0
121,1,6,2,0,12,30,30,0
122,1,5,1,0,9,30,24,0
123,1,5,1,0,10,30,24,0
124,1,6,1,0,11,30,24,0
125,1,6,1,0,12,30,24,0
126,1,7,1,0,13,30,24,0
127,1,4,1,0,9,35,24,0
128,1,4,1,0,10,35,24,0
129,1,5,1,0,11,35,24,0
130,1,5,1,0,12,35,24,0
131,1,6,1,0,13,35,24,0
202,2,5,0,0,7,30,14,0
203,2,6,0,0,9,30,14,0
205,2,5,0,0,9,30,20,0
206,2,6,0,0,11,30,20,0
207,2,7,0,0,13,30,20,0
209,2,4,0,0,9,35,20,0
210,2,5,0,0,11,35,20,0
211,2,6,0,0,13,35,20,0
213,2,5,0,0,9,30,26,0
214,2,6,0,0,11,30,26,0
215,2,7,0,0,13,30,26,0
217,2,4,0,0,9,35,26,0
219,2,6,0,0,13,35,26,0
220,2,4,0,0,7,30,28,0
221,2,5,0,0,10,30,26,0
222,2,6,0,0,12,30,26,0
224,2,5,0,0,10,30,28,0
225,2,6,0,0,11,30,28,0
227,2,7,0,0,13,30,28,0
301,3,4,1,0,9,30,2,0
302,3,5,1,0,11,30,2,0
303,3,6,1,0,13,30,2,0
304,3,3,1,0,6,30,3,0
305,3,5,1,0,9,30,3,0
306,3,5,1,0,11,30,3,0
401,4,4,0,0,9,20,0,0
402,4,5,0,0,11,20,0,0
403,4,6,0,0,13,20,0,0
404,4,4,0,0,9,30,0,0
405,4,5,0,0,11,30,0,0
406,4,6,0,0,13,30,0,0
503,5,3,6,0,6,30,0,0
504,5,4,6,0,9,30,0,0
601,6,4,3,0,9,20,0,0
602,6,5,3,0,11,20,0,0
603,6,6,3,0,13,20,0,0
610,6,4,4,0,8,20,0,0
611,6,6,4,0,12,20,0,0
612,6,7,4,0,14,25,0,0
614,6,3,7,0,9,25,0,0
615,6,4,7,0,11,25,0,0
616,6,5,7,0,12,25,0,0
617,6,6,7,0,13,25,0,0
702,7,4,1,0,7,30,10,5
703,7,4,1,0,8,30,10,5
704,7,5,1,0,9,30,10,5
705,7,5,1,0,10,30,10,5
706,7,6,1,0,11,30,10,5
712,7,5,1,0,9,30,7,3
713,7,5,1,0,10,30,7,3
714,7,6,1,0,11,30,7,3
716,7,7,1,0,13,30,7,3
804,10,5,2,0,9,30,32,14
805,10,5,2,0,10,30,32,16
806,10,6,2,0,11,30,32,18
904,8,5,2,1,9,30,29,1
905,8,5,2,1,10,30,29,1
906,8,6,2,1,11,30,29,1
