mst_event_story_id,mst_idol_id,mst_costume_id
7,15,0
7,22,0
7,23,0
7,33,0
7,48,0
15,5,0
15,30,0
15,36,0
15,40,0
23,14,0
23,16,0
23,24,0
23,26,0
23,44,0
31,15,0
31,20,0
31,33,0
31,50,0
31,51,0
39,8,0
39,18,0
39,25,0
39,45,0
39,46,0
47,16,0
47,22,0
47,24,0
47,48,0
47,52,0
55,12,0
55,19,0
55,30,0
55,35,0
55,39,0
63,14,0
63,21,0
63,26,0
63,32,0
63,36,0
71,1,0
71,28,0
71,37,0
71,43,0
71,49,0
79,20,0
79,31,0
79,38,0
79,46,0
87,5,0
87,7,0
87,9,0
87,11,0
87,13,0
95,18,0
95,42,0
103,3,0
103,27,0
103,31,0
103,38,0
103,47,0
111,26,0
111,28,0
111,30,0
119,17,0
119,20,0
119,29,0
119,40,0
119,42,0
127,33,0
127,44,0
127,51,0
135,4,0
135,6,0
135,10,0
135,34,0
135,36,0
143,39,0
143,41,0
143,48,0
143,52,0
151,2,0
151,21,0
151,32,0
151,41,0
151,50,0
159,19,0
159,27,0
159,29,0
159,37,0
159,43,0
182,201,40123900
190,16,0
190,18,0
190,19,0
190,35,0
190,36,0
198,20,0
198,27,0
198,29,0
198,37,0
198,41,0
206,15,0
206,27,0
206,31,0
206,34,0
206,48,0
214,15,0
214,24,0
214,42,0
214,46,0
214,52,0
222,14,0
222,17,0
222,22,0
222,28,0
222,41,0
230,17,0
230,39,0
230,44,0
230,49,0
230,51,0
238,12,0
238,40,0
246,15,0
246,50,0
254,13,0
254,14,0
254,24,0
254,37,0
254,41,0
262,16,0
262,23,0
262,45,0
270,20,0
270,34,0
270,44,0
278,21,0
278,32,0
286,24,0
286,26,0
294,25,0
294,34,0
294,47,0
294,49,0
302,16,0
302,19,0
302,43,0
310,22,0
310,24,0
310,35,0
310,40,0
320,6,0
320,23,0
320,50,0
320,51,0
320,52,0
328,14,0
328,17,0
328,36,0
336,15,0
336,26,0
336,47,0
344,1,0
344,2,0
344,3,0
344,4,0
344,5,0
344,6,0
344,7,0
344,8,0
344,9,0
344,10,0
344,11,0
344,12,0
344,13,0
352,23,0
352,25,0
360,38,0
360,39,0
360,41,0
360,46,0
360,52,0
383,24,0
383,25,0
383,26,0
383,44,0
383,47,0
391,32,0
391,35,0
391,37,0
399,3,0
399,4,0
399,6,0
399,7,0
407,19,0
407,36,0
407,44,0
407,45,0
407,48,0
415,13,0
415,21,0
415,22,0
415,47,0
415,49,0
