mst_lesson_wear_id,mst_idol_id,mst_lesson_wear_group_id,costume_number,costume_name,collabo_no,resource_id
1,1,1,1,tr,0,training_01
2,2,1,1,tr,0,training_01
3,3,1,1,tr,0,training_01
4,4,1,1,tr,0,training_01
5,5,1,1,tr,0,training_01
6,6,1,1,tr,0,training_01
7,7,1,1,tr,0,training_01
8,8,1,1,tr,0,training_01
9,9,1,1,tr,0,training_01
10,10,1,1,tr,0,training_01
11,11,1,1,tr,0,training_01
12,12,1,1,tr,0,training_01
13,13,1,1,tr,0,training_01
14,14,1,1,tr,0,training_01
15,15,1,1,tr,0,training_01
16,16,1,1,tr,0,training_01
17,17,1,1,tr,0,training_01
18,18,1,1,tr,0,training_01
19,19,1,1,tr,0,training_01
20,20,1,1,tr,0,training_01
21,21,1,1,tr,0,training_01
22,22,1,1,tr,0,training_01
23,23,1,1,tr,0,training_01
24,24,1,1,tr,0,training_01
25,25,1,1,tr,0,training_01
26,26,1,1,tr,0,training_01
27,27,1,1,tr,0,training_01
28,28,1,1,tr,0,training_01
29,29,1,1,tr,0,training_01
30,30,1,1,tr,0,training_01
31,31,1,1,tr,0,training_01
32,32,1,1,tr,0,training_01
33,33,1,1,tr,0,training_01
34,34,1,1,tr,0,training_01
35,35,1,1,tr,0,training_01
36,36,1,1,tr,0,training_01
37,37,1,1,tr,0,training_01
38,38,1,1,tr,0,training_01
39,39,1,1,tr,0,training_01
40,40,1,1,tr,0,training_01
41,41,1,1,tr,0,training_01
42,42,1,1,tr,0,training_01
43,43,1,1,tr,0,training_01
44,44,1,1,tr,0,training_01
45,45,1,1,tr,0,training_01
46,46,1,1,tr,0,training_01
47,47,1,1,tr,0,training_01
48,48,1,1,tr,0,training_01
49,49,1,1,tr,0,training_01
50,50,1,1,tr,0,training_01
51,51,1,1,tr,0,training_01
52,52,1,1,tr,0,training_01
53,201,1,1,gs,0,201xxx0013
90001,1,9001,1,cr,55,training_01
90002,2,9001,1,cr,55,training_01
90003,3,9001,1,cr,55,training_01
90004,4,9001,1,cr,55,training_01
90005,5,9001,1,cr,55,training_01
90006,6,9001,1,cr,55,training_01
90007,7,9001,1,cr,55,training_01
90008,8,9001,1,cr,55,training_01
90009,9,9001,1,cr,55,training_01
90010,10,9001,1,cr,55,training_01
90011,11,9001,1,cr,55,training_01
90012,12,9001,1,cr,55,training_01
90013,13,9001,1,cr,55,training_01
90014,14,9001,1,cr,55,training_01
90015,15,9001,1,cr,55,training_01
90016,16,9001,1,cr,55,training_01
90017,17,9001,1,cr,55,training_01
90018,18,9001,1,cr,55,training_01
90019,19,9001,1,cr,55,training_01
90020,20,9001,1,cr,55,training_01
90021,21,9001,1,cr,55,training_01
90022,22,9001,1,cr,55,training_01
90023,23,9001,1,cr,55,training_01
90024,24,9001,1,cr,55,training_01
90025,25,9001,1,cr,55,training_01
90026,26,9001,1,cr,55,training_01
90027,27,9001,1,cr,55,training_01
90028,28,9001,1,cr,55,training_01
90029,29,9001,1,cr,55,training_01
90030,30,9001,1,cr,55,training_01
90031,31,9001,1,cr,55,training_01
90032,32,9001,1,cr,55,training_01
90033,33,9001,1,cr,55,training_01
90034,34,9001,1,cr,55,training_01
90035,35,9001,1,cr,55,training_01
90036,36,9001,1,cr,55,training_01
90037,37,9001,1,cr,55,training_01
90038,38,9001,1,cr,55,training_01
90039,39,9001,1,cr,55,training_01
90040,40,9001,1,cr,55,training_01
90041,41,9001,1,cr,55,training_01
90042,42,9001,1,cr,55,training_01
90043,43,9001,1,cr,55,training_01
90044,44,9001,1,cr,55,training_01
90045,45,9001,1,cr,55,training_01
90046,46,9001,1,cr,55,training_01
90047,47,9001,1,cr,55,training_01
90048,48,9001,1,cr,55,training_01
90049,49,9001,1,cr,55,training_01
90050,50,9001,1,cr,55,training_01
90051,51,9001,1,cr,55,training_01
90052,52,9001,1,cr,55,training_01
