mst_main_story_id,number,chapter,mst_idol_id_list,release_level,release_song_id,reward_song_id,reward_type_list,reward_mst_item_id_list,reward_item_type_list,reward_mst_costume_id_list,reward_amount_list,intro_contact_mst_idol_id,blog_contact_mst_idol_id
1,1,1,"14,15,16,45,28",1,34,9,4,3,1,0,50,14,14
1,1,2,"14,15,16,45,28",1,34,9,4,3,1,0,50,14,14
1,1,3,"14,15,16,45,28",1,34,9,4,3,1,0,50,14,14
2,2,1,"15,14,16,22,23",2,9,7,4,3,1,0,50,15,15
2,2,2,"15,14,16,22,23",2,9,7,4,3,1,0,50,15,15
2,2,3,"15,14,16,22,23",2,9,7,4,3,1,0,50,15,15
3,3,1,"16,14,15,20,50",3,7,17,4,3,1,0,50,16,16
3,3,2,"16,14,15,20,50",3,7,17,4,3,1,0,50,16,16
3,3,3,"16,14,15,20,50",3,7,17,4,3,1,0,50,16,16
4,4,1,"51,32,39,49,29",4,17,35,4,3,1,0,50,51,51
4,4,2,"51,32,39,49,29",4,17,35,4,3,1,0,50,51,51
4,4,3,"51,32,39,49,29",4,17,35,4,3,1,0,50,51,51
5,5,1,"52,46,40,28,34",5,35,36,4,3,1,0,50,52,52
5,5,2,"52,46,40,28,34",5,35,36,4,3,1,0,50,52,52
5,5,3,"52,46,40,28,34",5,35,36,4,3,1,0,50,52,52
6,6,1,"26,24,27,33,18",6,36,5,4,3,1,0,50,26,26
6,6,2,"26,24,27,33,18",6,36,5,4,3,1,0,50,26,26
6,6,3,"26,24,27,33,18",6,36,5,4,3,1,0,50,26,26
7,7,1,"22,32,49,48,27",7,5,10,4,3,1,0,50,22,22
7,7,2,"22,32,49,48,27",7,5,10,4,3,1,0,50,22,22
7,7,3,"22,32,49,48,27",7,5,10,4,3,1,0,50,22,22
8,8,1,"19,30,35,36,44",8,10,15,4,3,1,0,50,19,19
8,8,2,"19,30,35,36,44",8,10,15,4,3,1,0,50,19,19
8,8,3,"19,30,35,36,44",8,10,15,4,3,1,0,50,19,19
9,9,1,"25,47,42,38,21",9,15,16,4,3,1,0,50,25,25
9,9,2,"25,47,42,38,21",9,15,16,4,3,1,0,50,25,25
9,9,3,"25,47,42,38,21",9,15,16,4,3,1,0,50,25,25
10,10,1,"14,15,16,51,52",10,16,1,4,3,1,0,50,22,14
10,10,2,"14,15,16,51,52",10,16,1,4,3,1,0,50,22,14
10,10,3,"14,15,16,51,52",10,16,1,4,3,1,0,50,22,14
11,11,1,"37,19,43,31,41",12,1,6,4,3,1,0,50,37,37
11,11,2,"37,19,43,31,41",12,1,6,4,3,1,0,50,37,37
11,11,3,"37,19,43,31,41",12,1,6,4,3,1,0,50,37,37
12,12,1,"20,18,45,21,46",14,6,14,4,3,1,0,50,20,20
12,12,2,"20,18,45,21,46",14,6,14,4,3,1,0,50,20,20
12,12,3,"20,18,45,21,46",14,6,14,4,3,1,0,50,20,20
13,13,1,"24,26,37,23,42",16,14,13,4,3,1,0,50,24,24
13,13,2,"24,26,37,23,42",16,14,13,4,3,1,0,50,24,24
13,13,3,"24,26,37,23,42",16,14,13,4,3,1,0,50,24,24
14,14,1,"36,33,50,32,38",18,13,20,4,3,1,0,50,36,36
14,14,2,"36,33,50,32,38",18,13,20,4,3,1,0,50,36,36
14,14,3,"36,33,50,32,38",18,13,20,4,3,1,0,50,36,36
15,15,1,"33,36,23,40,20",20,20,19,4,3,1,0,50,33,33
15,15,2,"33,36,23,40,20",20,20,19,4,3,1,0,50,33,33
15,15,3,"33,36,23,40,20",20,20,19,4,3,1,0,50,33,33
16,16,1,"37,20,24,36,33",22,19,44,4,3,1,0,50,24,20
16,16,2,"37,20,24,36,33",22,19,44,4,3,1,0,50,24,20
16,16,3,"37,20,24,36,33",22,19,44,4,3,1,0,50,24,20
17,17,1,"39,46,41,44,47",24,44,21,4,3,1,0,50,39,39
17,17,2,"39,46,41,44,47",24,44,21,4,3,1,0,50,39,39
17,17,3,"39,46,41,44,47",24,44,21,4,3,1,0,50,39,39
18,18,1,"29,34,40,13,48",26,21,25,4,3,1,0,50,29,29
18,18,2,"29,34,40,13,48",26,21,25,4,3,1,0,50,29,29
18,18,3,"29,34,40,13,48",26,21,25,4,3,1,0,50,29,29
19,19,1,"34,21,18,6,13",28,25,49,4,3,1,0,50,34,34
19,19,2,"34,21,18,6,13",28,25,49,4,3,1,0,50,34,34
19,19,3,"34,21,18,6,13",28,25,49,4,3,1,0,50,34,34
20,20,1,"42,29,31,25,17",30,49,30,4,3,1,0,50,42,42
20,20,2,"42,29,31,25,17",30,49,30,4,3,1,0,50,42,42
20,20,3,"42,29,31,25,17",30,49,30,4,3,1,0,50,42,42
21,21,1,"27,43,47,50,26",31,30,32,4,3,1,0,50,27,27
21,21,2,"27,43,47,50,26",31,30,32,4,3,1,0,50,27,27
21,21,3,"27,43,47,50,26",31,30,32,4,3,1,0,50,27,27
22,22,1,"18,37,17,42,46",32,32,63,4,3,1,0,50,18,18
22,22,2,"18,37,17,42,46",32,32,63,4,3,1,0,50,18,18
22,22,3,"18,37,17,42,46",32,32,63,4,3,1,0,50,18,18
23,23,1,"46,52,39,41,48",33,63,33,4,3,1,0,50,46,46
23,23,2,"46,52,39,41,48",33,63,33,4,3,1,0,50,46,46
23,23,3,"46,52,39,41,48",33,63,33,4,3,1,0,50,46,46
24,24,1,"28,24,40,26,49",34,33,23,4,3,1,0,50,28,28
24,24,2,"28,24,40,26,49",34,33,23,4,3,1,0,50,28,28
24,24,3,"28,24,40,26,49",34,33,23,4,3,1,0,50,28,28
25,25,1,"44,50,45,17,51",35,23,29,4,3,1,0,50,44,44
25,25,2,"44,50,45,17,51",35,23,29,4,3,1,0,50,44,44
25,25,3,"44,50,45,17,51",35,23,29,4,3,1,0,50,44,44
26,26,1,"23,33,48,31,9",36,29,31,4,3,1,0,50,23,23
26,26,2,"23,33,48,31,9",36,29,31,4,3,1,0,50,23,23
26,26,3,"23,33,48,31,9",36,29,31,4,3,1,0,50,23,23
27,27,1,"21,25,31,34,1",37,31,22,4,3,1,0,50,21,21
27,27,2,"21,25,31,34,1",37,31,22,4,3,1,0,50,21,21
27,27,3,"21,25,31,34,1",37,31,22,4,3,1,0,50,21,21
28,28,1,"38,25,41,52,7",38,22,73,4,3,1,0,50,38,38
28,28,2,"38,25,41,52,7",38,22,73,4,3,1,0,50,38,38
28,28,3,"38,25,41,52,7",38,22,73,4,3,1,0,50,38,38
29,29,1,"48,44,23,51,33",39,73,72,4,3,1,0,50,48,48
29,29,2,"48,44,23,51,33",39,73,72,4,3,1,0,50,48,48
29,29,3,"48,44,23,51,33",39,73,72,4,3,1,0,50,48,48
30,30,1,"39,29,34,42,27",40,72,61,4,3,1,0,50,42,39
30,30,2,"39,29,34,42,27",40,72,61,4,3,1,0,50,42,39
30,30,3,"39,29,34,42,27",40,72,61,4,3,1,0,50,42,39
31,31,1,"30,19,35,32,28",41,61,79,4,3,1,0,50,30,30
31,31,2,"30,19,35,32,28",41,61,79,4,3,1,0,50,30,30
31,31,3,"30,19,35,32,28",41,61,79,4,3,1,0,50,30,30
32,32,1,"49,30,22,40,5",42,79,83,4,3,1,0,50,49,49
32,32,2,"49,30,22,40,5",42,79,83,4,3,1,0,50,49,49
32,32,3,"49,30,22,40,5",42,79,83,4,3,1,0,50,49,49
33,33,1,"40,29,52,30,13",43,83,82,4,3,1,0,50,40,40
33,33,2,"40,29,52,30,13",43,83,82,4,3,1,0,50,40,40
33,33,3,"40,29,52,30,13",43,83,82,4,3,1,0,50,40,40
34,34,1,"17,20,42,18,34",44,82,85,4,3,1,0,50,17,17
34,34,2,"17,20,42,18,34",44,82,85,4,3,1,0,50,17,17
34,34,3,"17,20,42,18,34",44,82,85,4,3,1,0,50,17,17
35,35,1,"31,0,0,0,0",45,85,87,4,3,1,0,50,31,31
35,35,2,"31,0,0,0,0",45,85,87,4,3,1,0,50,31,31
35,35,3,"31,0,0,0,0",45,85,87,4,3,1,0,50,31,31
36,36,1,"35,21,31,11,12",46,87,24,4,3,1,0,50,35,35
36,36,2,"35,21,31,11,12",46,87,24,4,3,1,0,50,35,35
36,36,3,"35,21,31,11,12",46,87,24,4,3,1,0,50,35,35
37,37,1,"43,27,49,19,6",47,24,90,4,3,1,0,50,43,43
37,37,2,"43,27,49,19,6",47,24,90,4,3,1,0,50,43,43
37,37,3,"43,27,49,19,6",47,24,90,4,3,1,0,50,43,43
38,38,1,"47,25,42,43,38",48,90,94,4,3,1,0,50,47,47
38,38,2,"47,25,42,43,38",48,90,94,4,3,1,0,50,47,47
38,38,3,"47,25,42,43,38",48,90,94,4,3,1,0,50,47,47
39,39,1,"45,51,20,41,3",49,94,96,4,3,1,0,50,45,45
39,39,2,"45,51,20,41,3",49,94,96,4,3,1,0,50,45,45
39,39,3,"45,51,20,41,3",49,94,96,4,3,1,0,50,45,45
40,40,1,"32,26,22,35,4",50,96,98,4,3,1,0,50,32,32
40,40,2,"32,26,22,35,4",50,96,98,4,3,1,0,50,32,32
40,40,3,"32,26,22,35,4",50,96,98,4,3,1,0,50,32,32
41,41,1,"50,0,0,0,0",50,98,100,"4,4,8","3,705,0","1,5,0","0,0,102","50,1,1",50,50
41,41,2,"50,0,0,0,0",50,98,100,"4,4,8","3,705,0","1,5,0","0,0,102","50,1,1",50,50
41,41,3,"50,0,0,0,0",50,98,100,"4,4,8","3,705,0","1,5,0","0,0,102","50,1,1",50,50
42,42,1,"41,38,44,45,10",50,100,102,4,3,1,0,50,41,41
42,42,2,"41,38,44,45,10",50,100,102,4,3,1,0,50,41,41
42,42,3,"41,38,44,45,10",50,100,102,4,3,1,0,50,41,41
43,43,1,"13,6,34,29,40",50,102,104,4,3,1,0,50,13,13
43,43,2,"13,6,34,29,40",50,102,104,4,3,1,0,50,13,13
43,43,3,"13,6,34,29,40",50,102,104,4,3,1,0,50,13,13
44,44,1,"52,15,22,36,2",50,104,107,4,3,1,0,50,52,52
44,44,2,"52,15,22,36,2",50,104,107,4,3,1,0,50,52,52
44,44,3,"52,15,22,36,2",50,104,107,4,3,1,0,50,52,52
45,45,1,"3,16,18,0,0",50,107,109,4,3,1,0,50,3,3
45,45,2,"3,16,18,0,0",50,107,109,4,3,1,0,50,3,3
45,45,3,"3,16,18,0,0",50,107,109,4,3,1,0,50,3,3
46,46,1,"51,52,50,27,8",50,109,111,4,3,1,0,50,51,51
46,46,2,"51,52,50,27,8",50,109,111,4,3,1,0,50,51,51
46,46,3,"51,52,50,27,8",50,109,111,4,3,1,0,50,51,51
47,47,1,"2,3,20,15,50",50,111,113,4,3,1,0,50,2,2
47,47,2,"2,3,20,15,50",50,111,113,4,3,1,0,50,2,2
47,47,3,"2,3,20,15,50",50,111,113,4,3,1,0,50,2,2
48,48,1,"14,15,16,37,19",50,113,115,4,3,1,0,50,14,14
48,48,2,"14,15,16,37,19",50,113,115,4,3,1,0,50,14,14
48,48,3,"14,15,16,37,19",50,113,115,4,3,1,0,50,14,14
49,49,1,"5,30,49,0,0",50,115,118,4,3,1,0,50,5,5
49,49,2,"5,30,49,0,0",50,115,118,4,3,1,0,50,5,5
49,49,3,"5,30,49,0,0",50,115,118,4,3,1,0,50,5,5
