mst_mission_id,mst_panel_mission_id,mst_idol_mission_id,mission_type,mst_mission_class_id,goal,option,option2,premise_mst_mission_id_list,reward_mst_item_id_list,reward_item_type_id_list,reward_amount_list,reward_mst_card_id_list,reward_mst_achievement_id_list,reward_mst_song_id_list,reward_resource_id_list,create_date,sort_id,jump_type,mission_operation_label,mst_mission_schedule_id,mst_panel_mission_sheet_id
1,0,0,0,1,50,-,-,0,3,1,50,0,0,0,,2022-01-28T03:56:31+0000,1,SongSelect,-,3,0
2,0,0,0,1,100,-,-,1,3,1,50,0,0,0,,2022-01-28T03:56:31+0000,2,SongSelect,-,3,0
3,0,0,0,1,250,-,-,2,3,1,50,0,0,0,,2022-01-28T03:56:31+0000,3,SongSelect,-,3,0
4,0,0,0,1,500,-,-,3,0,0,1,0,4,0,achievement_004,2022-01-28T03:56:31+0000,4,SongSelect,-,3,0
5,0,0,0,1,1000,-,-,4,3,1,100,0,0,0,,2022-01-28T03:56:31+0000,5,SongSelect,-,3,0
6,0,0,0,1,2000,-,-,5,0,0,1,0,5,0,achievement_005,2022-01-28T03:56:31+0000,6,SongSelect,-,3,0
7,0,0,0,2,10,-,-,0,22,6,1,0,0,0,,2022-01-28T03:56:31+0000,20,SongSelect,-,3,0
8,0,0,0,2,30,-,-,7,0,0,1,0,6,0,achievement_006,2022-01-28T03:56:31+0000,21,SongSelect,-,3,0
9,0,0,0,2,50,-,-,8,3,1,50,0,0,0,,2022-01-28T03:56:31+0000,22,SongSelect,-,3,0
10,0,0,0,2,100,-,-,9,0,0,1,0,7,0,achievement_007,2022-01-28T03:56:31+0000,23,SongSelect,-,3,0
11,0,0,0,3,300000,-,-,0,3,1,50,0,0,0,,2022-01-28T03:56:31+0000,30,SongSelect,-,3,0
12,0,0,0,3,500000,-,-,11,0,0,1,0,8,0,achievement_008,2022-01-28T03:56:31+0000,31,SongSelect,-,3,0
13,0,0,0,3,700000,-,-,12,3,1,50,0,0,0,,2022-01-28T03:56:31+0000,32,SongSelect,-,3,0
14,0,0,0,3,900000,-,-,13,0,0,1,0,9,0,achievement_009,2022-01-28T03:56:31+0000,33,SongSelect,-,3,0
15,0,0,0,4,7,-,-,0,200,8,1,0,0,0,,2022-01-28T03:56:31+0000,101,SongSelect,-,3,0
16,0,0,0,4,11,-,-,15,201,8,1,0,0,0,,2022-01-28T03:56:31+0000,102,SongSelect,-,3,0
17,0,0,0,4,14,-,-,16,202,8,1,0,0,0,,2022-01-28T03:56:31+0000,103,SongSelect,-,3,0
18,0,0,0,4,17,-,-,17,0,0,1,0,10,0,achievement_010,2022-01-28T03:56:31+0000,104,SongSelect,-,3,0
30,0,0,0,5,25,-,-,0,3,1,50,0,0,0,,2022-01-28T03:56:31+0000,301,Gasha,-,3,0
31,0,0,0,5,50,-,-,30,0,0,1,0,11,0,achievement_011,2022-01-28T03:56:31+0000,302,Gasha,-,3,0
32,0,0,0,6,25,100,-,0,3,1,50,0,0,0,,2022-01-28T03:56:31+0000,401,SongSelect,-,3,0
33,0,0,0,6,50,100,-,32,0,0,1,0,12,0,achievement_012,2022-01-28T03:56:31+0000,402,SongSelect,-,3,0
34,0,0,0,6,25,1000,-,0,3,1,50,0,0,0,,2022-01-28T03:56:31+0000,403,SongSelect,-,3,0
35,0,0,0,6,50,1000,-,34,0,0,1,0,13,0,achievement_013,2022-01-28T03:56:31+0000,404,SongSelect,-,3,0
36,0,0,0,7,30,-,-,0,3,1,50,0,0,0,,2022-01-28T03:56:31+0000,501,SongSelect,-,3,0
37,0,0,0,7,50,-,-,36,0,0,1,0,2,0,achievement_002,2022-01-28T03:56:31+0000,502,SongSelect,-,3,0
38,0,0,0,7,70,-,-,37,3,1,100,0,0,0,,2022-01-28T03:56:31+0000,503,SongSelect,-,3,0
39,0,0,0,7,100,-,-,38,0,0,1,0,3,0,achievement_003,2022-01-28T03:56:31+0000,504,SongSelect,-,3,0
40,0,0,0,8,5,-,-,0,3,1,25,0,0,0,,2022-01-28T03:56:31+0000,601,SongSelect,-,3,0
41,0,0,0,8,10,-,-,40,3,1,25,0,0,0,,2022-01-28T03:56:31+0000,602,SongSelect,-,3,0
42,0,0,0,9,5,-,-,0,3,1,50,0,0,0,,2022-01-28T03:56:31+0000,701,Gasha,-,3,0
43,0,0,0,9,10,-,-,42,0,0,1,0,14,0,achievement_014,2022-01-28T03:56:31+0000,702,Gasha,-,3,0
44,0,0,0,9,20,-,-,43,0,0,1,0,15,0,achievement_015,2022-01-28T03:56:31+0000,703,Gasha,-,3,0
45,0,0,0,9,30,-,-,44,0,0,1,0,16,0,achievement_016,2022-01-28T03:56:31+0000,704,Gasha,-,3,0
46,0,0,0,9,40,-,-,45,0,0,1,0,17,0,achievement_017,2022-01-28T03:56:31+0000,705,Gasha,-,3,0
47,0,0,0,9,50,-,-,46,0,0,1,0,18,0,achievement_018,2022-01-28T03:56:31+0000,706,Gasha,-,3,0
48,0,0,0,10,30,-,-,0,3,1,25,0,0,0,,2022-01-28T03:56:31+0000,801,Home,-,3,0
49,0,0,0,10,100,-,-,48,0,0,1,0,19,0,achievement_019,2022-01-28T03:56:31+0000,802,Home,-,3,0
50,0,0,0,11,50,-,-,0,3,1,25,0,0,0,,2022-01-28T03:56:31+0000,901,Home,-,3,0
51,0,0,0,11,250,-,-,50,3,1,50,0,0,0,,2022-01-28T03:56:31+0000,902,Home,-,3,0
52,0,0,0,11,1000,-,-,51,0,0,1,0,20,0,achievement_020,2022-01-28T03:56:31+0000,903,Home,-,3,0
53,0,0,0,12,5,-,-,77,3,1,25,0,0,0,,2022-01-28T03:56:31+0000,1001,SongSelect,-,3,0
54,0,0,0,12,10,-,-,53,3,1,25,0,0,0,,2022-01-28T03:56:31+0000,1002,SongSelect,-,3,0
55,0,0,0,12,20,-,-,54,0,0,1,0,21,0,achievement_021,2022-01-28T03:56:31+0000,1003,SongSelect,-,3,0
56,0,0,0,12,30,-,-,55,3,1,25,0,0,0,,2022-01-28T03:56:31+0000,1004,SongSelect,-,3,0
57,0,0,0,12,40,-,-,56,0,0,1,0,22,0,achievement_022,2022-01-28T03:56:31+0000,1005,SongSelect,-,3,0
58,0,0,0,12,50,-,-,57,3,1,25,0,0,0,,2022-01-28T03:56:31+0000,1006,SongSelect,-,3,0
