mst_achievement_id,resource_id,achievement_type,begin_date,sort_id
1,achievement_001,1,2019-04-01T00:00:00+0800,1
2,achievement_002,1,2019-04-01T00:00:00+0800,10
3,achievement_003,1,2019-04-01T00:00:00+0800,11
4,achievement_004,1,2019-04-01T00:00:00+0800,21
5,achievement_005,1,2019-04-01T00:00:00+0800,22
6,achievement_006,1,2019-04-01T00:00:00+0800,23
7,achievement_007,1,2019-04-01T00:00:00+0800,24
8,achievement_008,1,2019-04-01T00:00:00+0800,26
9,achievement_009,1,2019-04-01T00:00:00+0800,27
10,achievement_010,1,2019-04-01T00:00:00+0800,29
11,achievement_011,1,2019-04-01T00:00:00+0800,41
12,achievement_012,1,2019-04-01T00:00:00+0800,50
13,achievement_013,1,2019-04-01T00:00:00+0800,51
14,achievement_014,1,2019-04-01T00:00:00+0800,60
15,achievement_015,1,2019-04-01T00:00:00+0800,61
16,achievement_016,1,2019-04-01T00:00:00+0800,62
17,achievement_017,1,2019-04-01T00:00:00+0800,63
18,achievement_018,1,2019-04-01T00:00:00+0800,64
19,achievement_019,1,2019-04-01T00:00:00+0800,71
20,achievement_020,1,2019-04-01T00:00:00+0800,70
21,achievement_021,1,2019-04-01T00:00:00+0800,80
22,achievement_022,1,2019-04-01T00:00:00+0800,81
23,achievement_023,1,2019-04-01T00:00:00+0800,82
24,achievement_024,1,2019-04-01T00:00:00+0800,83
25,achievement_025,1,2019-04-01T00:00:00+0800,84
26,achievement_026,1,2019-04-01T00:00:00+0800,90
27,achievement_027,2,2019-04-01T00:00:00+0800,1010
28,achievement_028,2,2019-04-01T00:00:00+0800,1011
29,achievement_029,2,2019-04-01T00:00:00+0800,1020
30,achievement_030,2,2019-04-01T00:00:00+0800,1021
31,achievement_031,2,2019-04-01T00:00:00+0800,1030
32,achievement_032,2,2019-04-01T00:00:00+0800,1031
33,achievement_033,2,2019-04-01T00:00:00+0800,1040
34,achievement_034,2,2019-04-01T00:00:00+0800,1041
35,achievement_035,2,2019-04-01T00:00:00+0800,1050
36,achievement_036,2,2019-04-01T00:00:00+0800,1051
37,achievement_037,2,2019-04-01T00:00:00+0800,1060
38,achievement_038,2,2019-04-01T00:00:00+0800,1061
39,achievement_039,2,2019-04-01T00:00:00+0800,1070
40,achievement_040,2,2019-04-01T00:00:00+0800,1071
41,achievement_041,2,2019-04-01T00:00:00+0800,1080
42,achievement_042,2,2019-04-01T00:00:00+0800,1081
43,achievement_043,2,2019-04-01T00:00:00+0800,1090
44,achievement_044,2,2019-04-01T00:00:00+0800,1091
45,achievement_045,2,2019-04-01T00:00:00+0800,1100
46,achievement_046,2,2019-04-01T00:00:00+0800,1101
47,achievement_047,2,2019-04-01T00:00:00+0800,1110
48,achievement_048,2,2019-04-01T00:00:00+0800,1111
49,achievement_049,2,2019-04-01T00:00:00+0800,1120
50,achievement_050,2,2019-04-01T00:00:00+0800,1121
51,achievement_051,2,2019-04-01T00:00:00+0800,1130
52,achievement_052,2,2019-04-01T00:00:00+0800,1131
53,achievement_053,2,2019-04-01T00:00:00+0800,1140
54,achievement_054,2,2019-04-01T00:00:00+0800,1141
55,achievement_055,2,2019-04-01T00:00:00+0800,1150
56,achievement_056,2,2019-04-01T00:00:00+0800,1151
57,achievement_057,2,2019-04-01T00:00:00+0800,1160
58,achievement_058,2,2019-04-01T00:00:00+0800,1161
59,achievement_059,2,2019-04-01T00:00:00+0800,1180
60,achievement_060,2,2019-04-01T00:00:00+0800,1181
61,achievement_061,2,2019-04-01T00:00:00+0800,1190
62,achievement_062,2,2019-04-01T00:00:00+0800,1191
63,achievement_063,2,2019-04-01T00:00:00+0800,1200
64,achievement_064,2,2019-04-01T00:00:00+0800,1201
65,achievement_065,2,2019-04-01T00:00:00+0800,1210
66,achievement_066,2,2019-04-01T00:00:00+0800,1211
67,achievement_067,2,2019-04-01T00:00:00+0800,1220
68,achievement_068,2,2019-04-01T00:00:00+0800,1221
69,achievement_069,2,2019-04-01T00:00:00+0800,1230
70,achievement_070,2,2019-04-01T00:00:00+0800,1231
71,achievement_071,2,2019-04-01T00:00:00+0800,1240
72,achievement_072,2,2019-04-01T00:00:00+0800,1241
73,achievement_073,2,2019-04-01T00:00:00+0800,1250
74,achievement_074,2,2019-04-01T00:00:00+0800,1251
75,achievement_075,2,2019-04-01T00:00:00+0800,1260
76,achievement_076,2,2019-04-01T00:00:00+0800,1261
77,achievement_077,2,2019-04-01T00:00:00+0800,1270
78,achievement_078,2,2019-04-01T00:00:00+0800,1271
79,achievement_079,2,2019-04-01T00:00:00+0800,1280
80,achievement_080,2,2019-04-01T00:00:00+0800,1281
81,achievement_081,2,2019-04-01T00:00:00+0800,1290
82,achievement_082,2,2019-04-01T00:00:00+0800,1291
83,achievement_083,2,2019-04-01T00:00:00+0800,1300
84,achievement_084,2,2019-04-01T00:00:00+0800,1301
85,achievement_085,2,2019-04-01T00:00:00+0800,1310
86,achievement_086,2,2019-04-01T00:00:00+0800,1311
87,achievement_087,2,2019-04-01T00:00:00+0800,1320
88,achievement_088,2,2019-04-01T00:00:00+0800,1321
89,achievement_089,2,2019-04-01T00:00:00+0800,1330
90,achievement_090,2,2019-04-01T00:00:00+0800,1331
91,achievement_091,2,2019-04-01T00:00:00+0800,1340
92,achievement_092,2,2019-04-01T00:00:00+0800,1341
93,achievement_093,2,2019-04-01T00:00:00+0800,1350
94,achievement_094,2,2019-04-01T00:00:00+0800,1351
95,achievement_095,2,2019-04-01T00:00:00+0800,1360
96,achievement_096,2,2019-04-01T00:00:00+0800,1361
