mst_costume_id,mst_idol_id,resource_id,mst_costume_group_id,costume_name,costume_number,exclude_album,exclude_random,collabo_number,replace_group_id,sort_id,release_date,gorgeous_appeal_type
0,0,-,0,-,0,0,1,0,0,0,2018-01-01T00:00:00+0800,0
1,1,costume_99,1,ex,1,0,0,0,0,10101010,2018-01-01T00:00:00+0800,0
2,2,costume_99,1,ex,1,0,0,0,0,10101020,2018-01-01T00:00:00+0800,0
3,3,costume_99,1,ex,1,0,0,0,0,10101030,2018-01-01T00:00:00+0800,0
4,4,costume_99,1,ex,1,0,0,0,0,10101040,2018-01-01T00:00:00+0800,0
5,5,costume_99,1,ex,1,0,0,0,0,10101050,2018-01-01T00:00:00+0800,0
6,6,costume_99,1,ex,1,0,0,0,0,10101060,2018-01-01T00:00:00+0800,0
7,7,costume_99,1,ex,1,0,0,0,0,10101070,2018-01-01T00:00:00+0800,0
8,8,costume_99,1,ex,1,0,0,0,0,10101080,2018-01-01T00:00:00+0800,0
9,9,costume_99,1,ex,1,0,0,0,0,10101090,2018-01-01T00:00:00+0800,0
10,10,costume_99,1,ex,1,0,0,0,0,10101100,2018-01-01T00:00:00+0800,0
11,11,costume_99,1,ex,1,0,0,0,0,10101110,2018-01-01T00:00:00+0800,0
12,12,costume_99,1,ex,1,0,0,0,0,10101120,2018-01-01T00:00:00+0800,0
13,13,costume_99,1,ex,1,0,0,0,0,10101130,2018-01-01T00:00:00+0800,0
14,14,costume_99,1,ex,1,0,0,0,0,10101140,2018-01-01T00:00:00+0800,0
15,15,costume_99,1,ex,1,0,0,0,0,10101150,2018-01-01T00:00:00+0800,0
16,16,costume_99,1,ex,1,0,0,0,0,10101160,2018-01-01T00:00:00+0800,0
17,17,costume_99,1,ex,1,0,0,0,0,10101170,2018-01-01T00:00:00+0800,0
18,18,costume_99,1,ex,1,0,0,0,0,10101180,2018-01-01T00:00:00+0800,0
19,19,costume_99,1,ex,1,0,0,0,0,10101190,2018-01-01T00:00:00+0800,0
20,20,costume_99,1,ex,1,0,0,0,0,10101200,2018-01-01T00:00:00+0800,0
21,21,costume_99,1,ex,1,0,0,0,0,10101210,2018-01-01T00:00:00+0800,0
22,22,costume_99,1,ex,1,0,0,0,0,10101220,2018-01-01T00:00:00+0800,0
23,23,costume_99,1,ex,1,0,0,0,0,10101230,2018-01-01T00:00:00+0800,0
24,24,costume_99,1,ex,1,0,0,0,0,10101240,2018-01-01T00:00:00+0800,0
25,25,costume_99,1,ex,1,0,0,0,0,10101250,2018-01-01T00:00:00+0800,0
26,26,costume_99,1,ex,1,0,0,0,0,10101260,2018-01-01T00:00:00+0800,0
27,27,costume_99,1,ex,1,0,0,0,0,10101270,2018-01-01T00:00:00+0800,0
28,28,costume_99,1,ex,1,0,0,0,0,10101280,2018-01-01T00:00:00+0800,0
29,29,costume_99,1,ex,1,0,0,0,0,10101290,2018-01-01T00:00:00+0800,0
30,30,costume_99,1,ex,1,0,0,0,0,10101300,2018-01-01T00:00:00+0800,0
31,31,costume_99,1,ex,1,0,0,0,0,10101310,2018-01-01T00:00:00+0800,0
32,32,costume_99,1,ex,1,0,0,0,0,10101320,2018-01-01T00:00:00+0800,0
33,33,costume_99,1,ex,1,0,0,0,0,10101330,2018-01-01T00:00:00+0800,0
34,34,costume_99,1,ex,1,0,0,0,0,10101340,2018-01-01T00:00:00+0800,0
35,35,costume_99,1,ex,1,0,0,0,0,10101350,2018-01-01T00:00:00+0800,0
36,36,costume_99,1,ex,1,0,0,0,0,10101360,2018-01-01T00:00:00+0800,0
37,37,costume_99,1,ex,1,0,0,0,0,10101370,2018-01-01T00:00:00+0800,0
38,38,costume_99,1,ex,1,0,0,0,0,10101380,2018-01-01T00:00:00+0800,0
39,39,costume_99,1,ex,1,0,0,0,0,10101390,2018-01-01T00:00:00+0800,0
40,40,costume_99,1,ex,1,0,0,0,0,10101400,2018-01-01T00:00:00+0800,0
41,41,costume_99,1,ex,1,0,0,0,0,10101410,2018-01-01T00:00:00+0800,0
42,42,costume_99,1,ex,1,0,0,0,0,10101420,2018-01-01T00:00:00+0800,0
43,43,costume_99,1,ex,1,0,0,0,0,10101430,2018-01-01T00:00:00+0800,0
44,44,costume_99,1,ex,1,0,0,0,0,10101440,2018-01-01T00:00:00+0800,0
45,45,costume_99,1,ex,1,0,0,0,0,10101450,2018-01-01T00:00:00+0800,0
46,46,costume_99,1,ex,1,0,0,0,0,10101460,2018-01-01T00:00:00+0800,0
47,47,costume_99,1,ex,1,0,0,0,0,10101470,2018-01-01T00:00:00+0800,0
48,48,costume_99,1,ex,1,0,0,0,0,10101480,2018-01-01T00:00:00+0800,0
49,49,costume_99,1,ex,1,0,0,0,0,10101490,2018-01-01T00:00:00+0800,0
50,50,costume_99,1,ex,1,0,0,0,0,10101500,2018-01-01T00:00:00+0800,0
51,51,costume_99,1,ex,1,0,0,0,0,10101510,2018-01-01T00:00:00+0800,0
52,52,costume_99,1,ex,1,0,0,0,0,10101520,2018-01-01T00:00:00+0800,0
53,1,costume_02,2,ex,2,0,0,0,0,10102010,2018-01-01T00:00:00+0800,0
54,2,costume_02,2,ex,2,0,0,0,0,10102020,2018-01-01T00:00:00+0800,0
55,3,costume_02,2,ex,2,0,0,0,0,10102030,2018-01-01T00:00:00+0800,0
56,4,costume_02,2,ex,2,0,0,0,0,10102040,2018-01-01T00:00:00+0800,0
57,5,costume_02,2,ex,2,0,0,0,0,10102050,2018-01-01T00:00:00+0800,0
58,6,costume_02,2,ex,2,0,0,0,0,10102060,2018-01-01T00:00:00+0800,0
59,7,costume_02,2,ex,2,0,0,0,0,10102070,2018-01-01T00:00:00+0800,0
