mst_song_id,course_id,cost,level,appeal,notes
1,1,15,3,40000,139
1,2,15,3,40000,139
1,3,25,10,130000,309
1,4,20,6,80000,200
1,5,25,11,130000,390
1,6,30,16,180000,520
2,1,15,3,40000,85
2,2,15,3,40000,85
2,3,25,11,130000,290
2,4,20,7,80000,211
2,5,25,12,130000,313
2,6,30,17,180000,589
3,1,15,3,40000,132
3,2,15,3,40000,132
3,3,25,10,130000,372
3,4,20,6,80000,164
3,5,25,11,130000,383
3,6,30,16,180000,555
4,1,15,2,40000,121
4,2,15,2,40000,121
4,3,25,8,130000,269
4,4,20,5,80000,161
4,5,25,9,130000,274
4,6,30,13,180000,354
5,1,15,3,40000,129
5,2,15,3,40000,129
5,3,25,9,130000,309
5,4,20,6,80000,185
5,5,25,10,130000,313
5,6,30,16,180000,482
6,1,15,3,40000,124
6,2,15,3,40000,124
6,3,25,9,130000,384
6,4,20,6,80000,259
6,5,25,10,130000,447
6,6,30,16,180000,638
7,1,15,3,40000,115
7,2,15,3,40000,115
7,3,25,9,130000,291
7,4,20,5,80000,168
7,5,25,10,130000,331
7,6,30,17,180000,508
8,1,15,4,40000,107
8,2,15,4,40000,107
8,3,25,11,130000,331
8,4,20,7,80000,174
8,5,25,12,130000,338
8,6,30,16,180000,466
9,1,15,3,40000,123
9,2,15,3,40000,123
9,3,25,9,130000,359
9,4,20,6,80000,275
9,5,25,10,130000,370
9,6,30,15,180000,575
10,1,15,3,40000,168
10,2,15,3,40000,168
10,3,25,10,130000,378
10,4,20,6,80000,240
10,5,25,11,130000,408
10,6,30,15,180000,606
11,1,15,4,40000,147
11,2,15,4,40000,147
11,3,25,11,130000,349
11,4,20,7,80000,193
11,5,25,12,130000,363
11,6,30,17,180000,555
12,1,15,2,40000,121
12,2,15,2,40000,121
12,3,25,11,130000,468
12,4,20,7,80000,269
12,5,25,12,130000,500
12,6,30,17,180000,700
13,1,15,4,40000,178
13,2,15,4,40000,178
13,3,25,10,130000,376
13,4,20,7,80000,306
13,5,25,11,130000,417
13,6,30,17,180000,626
14,1,15,4,40000,153
14,2,15,4,40000,153
14,3,25,10,130000,327
14,4,20,7,80000,232
14,5,25,11,130000,327
14,6,30,16,180000,505
15,1,15,4,40000,137
