mst_event_talk_story_id,mst_event_talk_control_id,episode,release_event_point,mst_event_talk_speaker_id,bg_id,thumbnail_id,begin_date
1,1,1,400,"27,37,42",bg2d_g0046,bg2d_a0001,2020-12-30T15:00:00+0800
2,1,2,800,"4,20,38",bg2d_g0047,bg2d_a0002,2020-12-30T15:00:00+0800
3,1,3,1200,"16,29,47",bg2d_g0049,bg2d_a0003,2020-12-30T15:00:00+0800
4,1,4,1600,"12,13,37",bg2d_g0047,bg2d_a0004,2020-12-30T15:00:00+0800
5,1,5,2000,"18,19,31",bg2d_g0047,bg2d_a0005,2020-12-30T15:00:00+0800
6,2,6,400,"27,37,42",bg2d_g0047,bg2d_a0006,2020-12-31T00:00:00+0800
7,2,7,800,"1,40,35",bg2d_g0046,bg2d_a0007,2020-12-31T00:00:00+0800
8,2,8,1200,"34,39,46",bg2d_g0049,bg2d_a0008,2020-12-31T00:00:00+0800
9,2,9,1600,"15,28,33",bg2d_g0048,bg2d_a0009,2020-12-31T00:00:00+0800
10,2,10,2000,"6,11,25",bg2d_g0050,bg2d_a0010,2020-12-31T00:00:00+0800
11,3,11,400,"8,27,37",bg2d_g0048,bg2d_a0011,2021-01-01T00:00:00+0800
12,3,12,800,"12,37,42",bg2d_g0048,bg2d_a0012,2021-01-01T00:00:00+0800
13,3,13,1200,"32,44,49",bg2d_g0047,bg2d_a0013,2021-01-01T00:00:00+0800
14,3,14,1600,"10,22,41",bg2d_g0050,bg2d_a0014,2021-01-01T00:00:00+0800
15,3,15,2000,"51,52,0",bg2d_g0048,bg2d_a0015,2021-01-01T00:00:00+0800
16,4,16,400,"27,34,42",bg2d_g0049,bg2d_a0016,2021-01-02T00:00:00+0800
17,4,17,800,"3,27,34",bg2d_g0049,bg2d_a0017,2021-01-02T00:00:00+0800
18,4,18,1200,"21,24,45",bg2d_g0047,bg2d_a0018,2021-01-02T00:00:00+0800
19,4,19,1600,"8,30,42",bg2d_g0048,bg2d_a0019,2021-01-02T00:00:00+0800
20,4,20,2000,"14,48,50",bg2d_g0047,bg2d_a0020,2021-01-02T00:00:00+0800
21,5,21,400,"2,37,42",bg2d_g0050,bg2d_a0021,2021-01-03T00:00:00+0800
22,5,22,800,"7,17,26",bg2d_g0050,bg2d_a0022,2021-01-03T00:00:00+0800
23,5,23,1200,"2,5,36",bg2d_g0050,bg2d_a0023,2021-01-03T00:00:00+0800
24,5,24,1600,"9,23,43",bg2d_g0050,bg2d_a0024,2021-01-03T00:00:00+0800
25,5,25,2000,"2,12,34",bg2d_g0050,bg2d_a0025,2021-01-03T00:00:00+0800
26,5,26,2400,"2,34,47",bg2d_g0050,bg2d_a0026,2021-01-03T00:00:00+0800
27,6,1,400,"5,9,50",bg2d_g0224,bg2d_a0027,2021-01-29T15:00:00+0800
28,6,2,800,"5,9,50",bg2d_g0224,bg2d_a0028,2021-01-29T15:00:00+0800
29,6,3,1200,"49,1,0",bg2d_g0225,bg2d_a0029,2021-01-29T15:00:00+0800
30,6,4,1600,"1,46,0",bg2d_g0225,bg2d_a0030,2021-01-29T15:00:00+0800
31,6,5,2000,"49,31,0",bg2d_g0226,bg2d_a0031,2021-01-29T15:00:00+0800
32,7,6,400,"49,31,0",bg2d_g0226,bg2d_a0032,2021-01-30T00:00:00+0800
33,7,7,800,"5,49,31",bg2d_g0226,bg2d_a0033,2021-01-30T00:00:00+0800
34,7,8,1200,"31,46,49",bg2d_g0226,bg2d_a0034,2021-01-30T00:00:00+0800
35,7,9,1600,"31,49,0",bg2d_g0226,bg2d_a0035,2021-01-30T00:00:00+0800
36,8,10,400,"3,27,44",bg2d_g0227,bg2d_a0036,2021-01-31T00:00:00+0800
37,8,11,800,"3,12,27",bg2d_g0227,bg2d_a0037,2021-01-31T00:00:00+0800
38,8,12,1200,"15,17,44",bg2d_g0227,bg2d_a0038,2021-01-31T00:00:00+0800
39,8,13,1600,"12,17,0",bg2d_g0227,bg2d_a0039,2021-01-31T00:00:00+0800
40,8,14,2000,"3,27,44",bg2d_g0227,bg2d_a0040,2021-01-31T00:00:00+0800
41,9,15,400,"15,27,0",bg2d_g0227,bg2d_a0041,2021-02-01T00:00:00+0800
42,9,16,800,"15,18,44",bg2d_g0227,bg2d_a0042,2021-02-01T00:00:00+0800
43,9,17,1200,"3,15,0",bg2d_g0228,bg2d_a0043,2021-02-01T00:00:00+0800
44,9,18,1600,"12,15,18",bg2d_g0228,bg2d_a0044,2021-02-01T00:00:00+0800
45,10,1,400,"6,16,32",bg2d_g0020,bg2d_a0045,2021-02-28T15:00:00+0800
46,10,2,800,"16,0,0",bg2d_g0020,bg2d_a0046,2021-02-28T15:00:00+0800
47,10,3,1200,"16,42,0",bg2d_g0022,bg2d_a0047,2021-02-28T15:00:00+0800
48,10,4,1600,"16,0,0",bg2d_g0020,bg2d_a0048,2021-02-28T15:00:00+0800
49,10,5,2000,"16,31,0",bg2d_g0021,bg2d_a0049,2021-02-28T15:00:00+0800
50,10,6,2400,"16,0,0",bg2d_g0020,bg2d_a0050,2021-02-28T15:00:00+0800
51,10,7,2800,"16,31,42",bg2d_g0020,bg2d_a0051,2021-02-28T15:00:00+0800
52,11,8,400,"16,0,0",bg2d_g0020,bg2d_a0052,2021-03-01T00:00:00+0800
53,11,9,800,"1,16,0",bg2d_g0023,bg2d_a0053,2021-03-01T00:00:00+0800
54,11,10,1200,"16,0,0",bg2d_g0023,bg2d_a0054,2021-03-01T00:00:00+0800
55,11,11,1600,"6,0,0",bg2d_g0021,bg2d_a0055,2021-03-01T00:00:00+0800
56,11,12,2000,"6,35,0",bg2d_g0021,bg2d_a0056,2021-03-01T00:00:00+0800
57,11,13,2400,"6,0,0",bg2d_g0021,bg2d_a0057,2021-03-01T00:00:00+0800
58,11,14,2800,"6,26,0",bg2d_g0020,bg2d_a0058,2021-03-01T00:00:00+0800
59,12,15,400,"6,0,0",bg2d_g0021,bg2d_a0059,2021-03-02T00:00:00+0800
60,12,16,800,"6,26,35",bg2d_g0021,bg2d_a0060,2021-03-02T00:00:00+0800
61,12,17,1200,"6,0,0",bg2d_g0023,bg2d_a0061,2021-03-02T00:00:00+0800
62,12,18,1600,"1,6,0",bg2d_g0021,bg2d_a0062,2021-03-02T00:00:00+0800
63,12,19,2000,"6,0,0",bg2d_g0021,bg2d_a0063,2021-03-02T00:00:00+0800
64,12,20,2400,"32,0,0",bg2d_g0022,bg2d_a0064,2021-03-02T00:00:00+0800
65,12,21,2800,"32,47,0",bg2d_g0021,bg2d_a0065,2021-03-02T00:00:00+0800
66,13,22,400,"32,0,0",bg2d_g0021,bg2d_a0066,2021-03-03T00:00:00+0800
67,13,23,800,"19,32,0",bg2d_g0020,bg2d_a0067,2021-03-03T00:00:00+0800
68,13,24,1200,"32,0,0",bg2d_g0022,bg2d_a0068,2021-03-03T00:00:00+0800
69,13,25,1600,"19,32,47",bg2d_g0022,bg2d_a0069,2021-03-03T00:00:00+0800
70,13,26,2000,"32,0,0",bg2d_g0022,bg2d_a0070,2021-03-03T00:00:00+0800
71,13,27,2400,"1,32,0",bg2d_g0023,bg2d_a0071,2021-03-03T00:00:00+0800
72,13,28,2800,"32,0,0",bg2d_g0023,bg2d_a0072,2021-03-03T00:00:00+0800
106,15,1,400,"1,18,33",bg2d_g0229,bg2d_a0106,2021-03-27T15:00:00+0800
107,15,2,800,"23,43,49",bg2d_g0233,bg2d_a0107,2021-03-27T15:00:00+0800
108,15,3,1200,"26,29,32",bg2d_g0233,bg2d_a0108,2021-03-27T15:00:00+0800
109,15,4,1600,"1,18,33",bg2d_g0231,bg2d_a0109,2021-03-27T15:00:00+0800
110,15,5,2000,"33,39,45",bg2d_g0230,bg2d_a0110,2021-03-27T15:00:00+0800
111,16,6,400,"18,33,41",bg2d_g0230,bg2d_a0111,2021-03-28T00:00:00+0800
112,16,7,800,"17,27,36",bg2d_g0231,bg2d_a0112,2021-03-28T00:00:00+0800
113,16,8,1200,"20,38,43",bg2d_g0231,bg2d_a0113,2021-03-28T00:00:00+0800
114,16,9,1600,"24,28,35",bg2d_g0231,bg2d_a0114,2021-03-28T00:00:00+0800
115,16,10,2000,"1,7,33",bg2d_g0233,bg2d_a0115,2021-03-28T00:00:00+0800
116,17,11,400,"10,18,19",bg2d_g0229,bg2d_a0116,2021-03-29T00:00:00+0800
117,17,12,800,"13,44,48",bg2d_g0231,bg2d_a0117,2021-03-29T00:00:00+0800
118,17,13,1200,"11,12,50",bg2d_g0229,bg2d_a0118,2021-03-29T00:00:00+0800
119,17,14,1600,"6,9,46",bg2d_g0231,bg2d_a0119,2021-03-29T00:00:00+0800
120,17,15,2000,"1,18,21",bg2d_g0232,bg2d_a0120,2021-03-29T00:00:00+0800
121,18,16,400,"5,30,31",bg2d_g0231,bg2d_a0121,2021-03-30T00:00:00+0800
122,18,17,800,"4,16,37",bg2d_g0231,bg2d_a0122,2021-03-30T00:00:00+0800
123,18,18,1200,"21,25,40",bg2d_g0232,bg2d_a0123,2021-03-30T00:00:00+0800
124,18,19,1600,"51,52,0",bg2d_g0229,bg2d_a0124,2021-03-30T00:00:00+0800
125,18,20,2000,"1,18,43",bg2d_g0233,bg2d_a0125,2021-03-30T00:00:00+0800
126,19,21,400,"3,7,34",bg2d_g0231,bg2d_a0126,2021-03-31T00:00:00+0800
127,19,22,800,"8,41,47",bg2d_g0231,bg2d_a0127,2021-03-31T00:00:00+0800
128,19,23,1200,"1,2,42",bg2d_g0231,bg2d_a0128,2021-03-31T00:00:00+0800
129,19,24,1600,"14,15,22",bg2d_g0230,bg2d_a0129,2021-03-31T00:00:00+0800
130,19,25,2000,"7,21,43",bg2d_g0230,bg2d_a0130,2021-03-31T00:00:00+0800
131,20,1,400,"2,44,45",bg2d_g0236,bg2d_a0131,2021-04-28T15:00:00+0800
132,20,2,800,"2,44,45",bg2d_t0007,bg2d_a0132,2021-04-28T15:00:00+0800
133,20,3,1200,"44,45,0",bg2d_g0236,bg2d_a0133,2021-04-28T15:00:00+0800
134,20,4,1600,"44,0,0",bg2d_g0239,bg2d_a0134,2021-04-28T15:00:00+0800
135,20,5,2000,"44,0,0",bg2d_g0239,bg2d_a0135,2021-04-28T15:00:00+0800
136,20,6,2400,"2,44,0",bg2d_g0239,bg2d_a0136,2021-04-28T15:00:00+0800
137,21,7,400,"2,44,45",bg2d_g0239,bg2d_a0137,2021-04-29T00:00:00+0800
138,21,8,800,"2,44,0",bg2d_g0239,bg2d_a0138,2021-04-29T00:00:00+0800
139,21,9,1200,"45,0,0",bg2d_g0237,bg2d_a0139,2021-04-29T00:00:00+0800
140,21,10,1600,"45,0,0",bg2d_g0237,bg2d_a0140,2021-04-29T00:00:00+0800
141,21,11,2000,"45,0,0",bg2d_g0238,bg2d_a0141,2021-04-29T00:00:00+0800
