mst_reward_item_id,reward_type,mst_card_id,mst_item_id,item_type,mst_costume_id,mst_achievement_id,amount,is_new
0,0,0,0,0,0,0,0,0
1,4,0,405,2,0,0,3000,0
2,4,0,3,1,0,0,25,0
3,4,0,3,1,0,0,50,0
4,4,0,705,5,0,0,1,0
5,8,0,0,0,102,0,1,0
6,4,0,0,0,0,0,1,0
7,4,0,0,0,0,0,2,0
8,4,0,0,0,0,0,3,0
9,4,0,0,0,0,0,4,0
10,4,0,0,0,0,0,5,0
11,4,0,0,0,0,0,6,0
12,4,0,0,0,0,0,7,0
13,4,0,0,0,0,0,8,0
14,4,0,3,1,0,0,100,0
15,4,0,3,1,0,0,150,0
16,4,0,402,2,0,0,500,0
17,4,0,403,2,0,0,1000,0
18,4,0,404,2,0,0,2000,0
19,4,0,406,2,0,0,4000,0
20,4,0,407,2,0,0,5000,0
21,4,0,410,2,0,0,8000,0
22,4,0,412,2,0,0,10000,0
23,4,0,200,8,0,0,3,0
24,4,0,201,8,0,0,2,0
25,4,0,202,8,0,0,1,0
26,4,0,201,8,0,0,3,0
27,4,0,3,1,0,0,250,0
