mst_special_story_id,position,mst_idol_id,mst_costume_id
4002,1,18,40112180
4002,2,42,40112420
4004,1,41,40118410
4004,2,52,40118520
4004,3,39,40118390
4004,4,48,40118480
4006,1,45,40144450
4006,2,23,40144230
4006,3,16,40144160
4008,1,22,40153220
4008,2,35,40153350
4008,3,24,40153240
4008,4,40,40153400
4010,1,30,40114300
4010,2,26,40114260
4010,3,28,40114280
4012,1,27,40120270
4012,2,37,40120370
4012,3,29,40120290
4012,4,19,40120190
4012,5,43,40120430
4014,1,21,40146210
4014,2,32,40146320
4016,1,14,40155140
4016,2,17,40155170
4016,3,36,40155360
4018,1,38,193
4018,2,31,40110310
4018,3,46,40110460
4018,4,20,40110200
4020,1,44,40116440
4020,2,51,40116510
4020,3,33,40116330
4022,1,50,40142500
4022,2,15,40142150
4024,1,25,40148250
4024,2,34,40148340
4024,3,47,40148470
4024,4,49,40148490
4026,1,29,40123290
4026,2,20,40123200
4026,3,41,30102410
4026,4,27,30102270
4026,5,37,40124370
4028,1,52,40126520
4028,2,15,40126150
4028,3,24,40126240
4028,4,46,30102460
4028,5,42,30102420
4030,1,17,40128170
4030,2,49,40128490
4030,3,44,30102440
4030,4,39,40128390
4030,5,51,30103510
