mst_voice_category_id,sort_id,idol_detail_type,value,rarity,label_header,voice_label,release_date,mst_direction_category_id
1101,1101,1,0,0,system_other,titlecall,2019-08-19T13:00:00+0800,0
1102,1102,1,0,0,system_other,anniv_titlecall,2021-08-30T13:00:00+0800,0
1103,1103,1,0,0,system_other,anniv2_titlecall,2021-08-30T13:00:00+0800,0
1201,1201,1,0,0,system_live,start_center,2019-08-19T13:00:00+0800,0
1401,1401,1,0,0,system_live,result_score_004,2019-08-19T13:00:00+0800,0
1402,1402,1,0,0,system_live,result_score_003,2019-08-19T13:00:00+0800,0
1403,1403,1,0,0,system_live,result_score_002,2019-08-19T13:00:00+0800,0
1404,1404,1,0,0,system_live,result_score_001,2019-08-19T13:00:00+0800,0
1411,1405,1,0,0,system_live,result_stamp_score_002,2019-08-19T13:00:00+0800,0
1412,1406,1,0,0,system_live,result_stamp_score_001,2019-08-19T13:00:00+0800,0
1421,1407,1,0,0,system_live,result_stamp_combo_002,2019-08-19T13:00:00+0800,0
1422,1408,1,0,0,system_live,result_stamp_combo_001,2019-08-19T13:00:00+0800,0
1431,1409,1,0,0,system_live,result_stamp_times_002,2019-08-19T13:00:00+0800,0
1432,1410,1,0,0,system_live,result_stamp_times_001,2019-08-19T13:00:00+0800,0
1501,1501,1,0,0,system_live,result_rankup,2019-08-19T13:00:00+0800,0
1601,1601,1,0,0,system_lesson,success_001,2019-08-19T13:00:00+0800,0
1602,1602,1,0,0,system_lesson,success_002,2019-08-19T13:00:00+0800,0
2011,2011,2,0,1,,flavor_1,2019-08-19T13:00:00+0800,0
2012,2012,2,1,1,,flavor_2,2019-08-19T13:00:00+0800,0
2021,2021,2,0,2,,flavor_1,2019-08-19T13:00:00+0800,0
2022,2022,2,1,2,,flavor_2,2019-08-19T13:00:00+0800,0
2031,2031,2,0,3,,flavor_1,2019-08-19T13:00:00+0800,0
2032,2032,2,1,3,,flavor_2,2019-08-19T13:00:00+0800,0
2041,2041,2,0,4,,flavor_1,2019-08-19T13:00:00+0800,0
2042,2042,2,1,4,,flavor_2,2019-08-19T13:00:00+0800,0
2111,2111,2,1,1,system_live,result_nr_awake_gauge25,2019-08-19T13:00:00+0800,0
2112,2112,2,1,1,system_live,result_nr_awake_gauge50,2019-08-19T13:00:00+0800,0
2113,2113,2,1,1,system_live,result_nr_awake_gauge75,2019-08-19T13:00:00+0800,0
2114,2114,2,1,1,system_live,result_nr_awake_gauge100,2019-08-19T13:00:00+0800,0
2121,2121,2,1,2,system_live,result_nr_awake_gauge25,2019-08-19T13:00:00+0800,0
2122,2122,2,1,2,system_live,result_nr_awake_gauge50,2019-08-19T13:00:00+0800,0
2123,2123,2,1,2,system_live,result_nr_awake_gauge75,2019-08-19T13:00:00+0800,0
2124,2124,2,1,2,system_live,result_nr_awake_gauge100,2019-08-19T13:00:00+0800,0
2131,2131,2,1,3,system_live,result_sr_awake_gauge25,2019-08-19T13:00:00+0800,0
2132,2132,2,1,3,system_live,result_sr_awake_gauge50,2019-08-19T13:00:00+0800,0
2133,2133,2,1,3,system_live,result_sr_awake_gauge75,2019-08-19T13:00:00+0800,0
