card_id,user_id,mst_card_id,exp,level,vocal,vocal_diff,dance,dance_diff,visual,visual_diff,before_awakened_vocal,before_awakened_dance,before_awakened_visual,after_awakened_vocal,after_awakened_dance,after_awakened_visual,skill_level,skill_level_max,skill_probability,is_awakened,awakening_gauge,master_rank,create_date,is_new
9abf7882-9b5d-4490-b1c6-b69e6fc1b0e4_574,9abf78829b5d4490b1c6b69e6fc1b0e4,574,110000,90,3270,18.0123456790123,6464,35.6296296296296,9641,53.141975308642,2946,5822,8684,3270,6464,9641,10,10,40,1,400,4,2021-06-27T12:46:22+00:00,0
9abf7882-9b5d-4490-b1c6-b69e6fc1b0e4_686,9abf78829b5d4490b1c6b69e6fc1b0e4,686,152500,90,9665,53.2654320987654,6446,35.5185185185185,3306,18.2098765432099,8706,5806,2978,9665,6446,3306,10,10,40,1,400,4,2021-09-30T13:32:58+00:00,0
9abf7882-9b5d-4490-b1c6-b69e6fc1b0e4_685,9abf78829b5d4490b1c6b69e6fc1b0e4,685,120000,90,6466,35.641975308642,9658,53.2222222222222,3250,17.9135802469136,5824,8700,2928,6466,9658,3250,10,10,40,1,400,4,2021-09-30T13:48:14+00:00,0
9abf7882-9b5d-4490-b1c6-b69e6fc1b0e4_572,9abf78829b5d4490b1c6b69e6fc1b0e4,572,107500,90,3295,18.1666666666667,9640,53.1358024691358,6469,35.6604938271605,2968,8684,5828,3295,9640,6469,10,10,40,1,400,4,2021-06-27T13:57:18+00:00,0
9abf7882-9b5d-4490-b1c6-b69e6fc1b0e4_680,9abf78829b5d4490b1c6b69e6fc1b0e4,680,62500,70,7388,53.8448979591837,5717,41.6734693877551,3958,28.8489795918367,6446,4988,3454,7388,5717,3958,10,10,40,1,300,4,2021-09-27T06:27:54+00:00,0
75f421ca-7df2-426f-8718-d2d34baab527_685,75f421ca7df2426f8718d2d34baab527,685,126500,90,6466,35.641975308642,9658,53.2222222222222,3250,17.9135802469136,5824,8700,2928,6466,9658,3250,10,10,40,1,400,4,2021-09-27T07:08:14+00:00,0
75f421ca-7df2-426f-8718-d2d34baab527_408,75f421ca7df2426f8718d2d34baab527,408,109000,90,8573,52.9197530864198,5754,35.5185185185185,2928,18.0740740740741,7620,5114,2602,8573,5754,2928,10,10,40,1,400,0,2021-03-30T23:06:40+00:00,0
75f421ca-7df2-426f-8718-d2d34baab527_462,75f421ca7df2426f8718d2d34baab527,462,156000,90,6433,35.462962962963,3272,18.0246913580247,9630,53.0740740740741,5794,2948,8674,6433,3272,9630,10,10,40,1,400,4,2020-12-25T07:06:09+00:00,0
75f421ca-7df2-426f-8718-d2d34baab527_567,75f421ca7df2426f8718d2d34baab527,567,123750,90,3848,21.2098765432099,6296,34.6913580246914,8813,48.5740740740741,3466,5672,7938,3848,6296,8813,8,10,38,1,400,4,2021-06-19T07:13:10+00:00,0
d5777c5a-352e-4fe4-9478-29daf01fd997_574,d5777c5a352e4fe4947829daf01fd997,574,128750,90,3270,18.0123456790123,6464,35.6296296296296,9641,53.141975308642,2946,5822,8684,3270,6464,9641,10,10,40,1,400,4,2021-06-28T12:07:27+00:00,0
d5777c5a-352e-4fe4-9478-29daf01fd997_572,d5777c5a352e4fe4947829daf01fd997,572,110000,90,3295,18.1666666666667,9640,53.1358024691358,6469,35.6604938271605,2968,8684,5828,3295,9640,6469,10,10,40,1,400,4,2021-06-27T20:35:27+00:00,0
d5777c5a-352e-4fe4-9478-29daf01fd997_685,d5777c5a352e4fe4947829daf01fd997,685,101250,90,6466,35.641975308642,9658,53.2222222222222,3250,17.9135802469136,5824,8700,2928,6466,9658,3250,10,10,40,1,400,4,2021-10-01T00:58:59+00:00,0
d5777c5a-352e-4fe4-9478-29daf01fd997_686,d5777c5a352e4fe4947829daf01fd997,686,121250,90,9665,53.2654320987654,6446,35.5185185185185,3306,18.2098765432099,8706,5806,2978,9665,6446,3306,10,10,40,1,400,4,2021-10-01T06:57:43+00:00,0
d5777c5a-352e-4fe4-9478-29daf01fd997_550,d5777c5a352e4fe4947829daf01fd997,550,1171250,90,6321,34.8456790123457,3793,20.8950617283951,8833,48.6728395061728,5694,3416,7956,6321,3793,8833,10,10,40,1,400,4,2021-10-05T18:59:46+00:00,0
9dd363fb-903e-4c9a-b8c1-177bb27cc5db_686,9dd363fb903e4c9ab8c1177bb27cc5db,686,605000,90,9665,53.2654320987654,6446,35.5185185185185,3306,18.2098765432099,8706,5806,2978,9665,6446,3306,10,10,40,1,400,4,2021-09-27T07:01:11+00:00,0
9dd363fb-903e-4c9a-b8c1-177bb27cc5db_685,9dd363fb903e4c9ab8c1177bb27cc5db,685,90000,90,6466,35.641975308642,9658,53.2222222222222,3250,17.9135802469136,5824,8700,2928,6466,9658,3250,10,10,40,1,400,4,2021-09-27T07:03:41+00:00,0
9dd363fb-903e-4c9a-b8c1-177bb27cc5db_408,9dd363fb903e4c9ab8c1177bb27cc5db,408,112500,90,9601,52.9197530864198,6446,35.5185185185185,3280,18.0740740740741,8648,5806,2954,9601,6446,3280,10,10,40,1,400,4,2020-09-28T07:01:41+00:00,0
9dd363fb-903e-4c9a-b8c1-177bb27cc5db_572,9dd363fb903e4c9ab8c1177bb27cc5db,572,937500,90,3295,18.1666666666667,9640,53.1358024691358,6469,35.6604938271605,2968,8684,5828,3295,9640,6469,10,10,40,1,400,4,2021-06-27T07:04:42+00:00,0
9dd363fb-903e-4c9a-b8c1-177bb27cc5db_486,9dd363fb903e4c9ab8c1177bb27cc5db,486,630500,90,4397,24.2283950617284,7983,43.9938271604938,6129,33.7839506172839,3960,7192,5520,4397,7983,6129,10,10,40,1,400,4,2021-02-11T09:47:03+00:00,0
e0228359-0359-499f-8533-c4652345050e_573,e02283590359499f8533c4652345050e,573,117500,90,9611,52.9814814814815,3294,18.1604938271605,6465,35.6358024691358,8658,2968,5824,9611,3294,6465,10,10,40,1,400,4,2021-06-27T08:48:16+00:00,0
e0228359-0359-499f-8533-c4652345050e_574,e02283590359499f8533c4652345050e,574,117500,90,3270,18.0123456790123,6464,35.6296296296296,9641,53.141975308642,2946,5822,8684,3270,6464,9641,10,10,40,1,400,4,2021-06-27T08:56:40+00:00,0
e0228359-0359-499f-8533-c4652345050e_572,e02283590359499f8533c4652345050e,572,117500,90,3295,18.1666666666667,9640,53.1358024691358,6469,35.6604938271605,2968,8684,5828,3295,9640,6469,10,10,40,1,400,4,2021-06-27T09:05:47+00:00,0
e0228359-0359-499f-8533-c4652345050e_578,e02283590359499f8533c4652345050e,578,0,1,3404,36.820987654321,2591,28.0432098765432,1844,19.9444444444444,3400,2588,1842,3404,2591,1844,1,10,36,1,300,4,2021-07-08T15:36:02+00:00,0
34bfc7dd-6b73-4af1-92b3-6988c3b18ac8_686,34bfc7dd6b734af192b36988c3b18ac8,686,117500,90,9665,53.2654320987654,6446,35.5185185185185,3306,18.2098765432099,8706,5806,2978,9665,6446,3306,10,10,40,1,400,4,2021-09-27T11:58:25+00:00,0
34bfc7dd-6b73-4af1-92b3-6988c3b18ac8_685,34bfc7dd6b734af192b36988c3b18ac8,685,117500,90,6466,35.641975308642,9658,53.2222222222222,3250,17.9135802469136,5824,8700,2928,6466,9658,3250,10,10,40,1,400,4,2021-09-27T14:25:09+00:00,0
34bfc7dd-6b73-4af1-92b3-6988c3b18ac8_574,34bfc7dd6b734af192b36988c3b18ac8,574,117500,90,3270,18.0123456790123,6464,35.6296296296296,9641,53.141975308642,2946,5822,8684,3270,6464,9641,10,10,40,1,400,4,2021-06-27T07:00:26+00:00,0
34bfc7dd-6b73-4af1-92b3-6988c3b18ac8_572,34bfc7dd6b734af192b36988c3b18ac8,572,142500,90,3295,18.1666666666667,9640,53.1358024691358,6469,35.6604938271605,2968,8684,5828,3295,9640,6469,10,10,40,1,400,4,2021-06-27T07:13:41+00:00,0
34bfc7dd-6b73-4af1-92b3-6988c3b18ac8_483,34bfc7dd6b734af192b36988c3b18ac8,483,532500,70,7267,52.9551020408163,3921,28.5795918367347,5563,40.5469387755102,6340,3420,4854,7267,3921,5563,10,10,45,1,300,4,2021-02-11T04:15:59+00:00,0
fd960cca-cc76-433e-9dfa-ea96768d848e_462,fd960ccacc76433e9dfaea96768d848e,462,92500,90,6433,35.462962962963,3272,18.0246913580247,9630,53.0740740740741,5794,2948,8674,6433,3272,9630,10,10,40,1,400,4,2020-12-27T07:11:08+00:00,0
fd960cca-cc76-433e-9dfa-ea96768d848e_409,fd960ccacc76433e9dfaea96768d848e,409,91500,90,6452,35.5555555555556,9578,52.7777777777778,3216,17.7283950617284,5812,8628,2896,6452,9578,3216,10,10,40,1,400,4,2020-09-29T16:05:29+00:00,0
fd960cca-cc76-433e-9dfa-ea96768d848e_408,fd960ccacc76433e9dfaea96768d848e,408,109000,90,9601,52.9197530864198,6446,35.5185185185185,3280,18.0740740740741,8648,5806,2954,9601,6446,3280,10,10,40,1,400,4,2020-10-01T16:34:13+00:00,0
fd960cca-cc76-433e-9dfa-ea96768d848e_572,fd960ccacc76433e9dfaea96768d848e,572,121250,90,3295,18.1666666666667,9640,53.1358024691358,6469,35.6604938271605,2968,8684,5828,3295,9640,6469,10,10,40,1,400,4,2021-07-02T08:16:01+00:00,0
fd960cca-cc76-433e-9dfa-ea96768d848e_639,fd960ccacc76433e9dfaea96768d848e,639,385000,90,3795,20.9074074074074,6323,34.858024691358,8876,48.9135802469136,3418,5696,7996,3795,6323,8876,10,10,40,1,400,4,2021-07-26T15:55:27+00:00,0
d2a4a7e2-1e0c-4017-8e41-a9ecd21e23d2_574,d2a4a7e21e0c40178e41a9ecd21e23d2,574,115000,90,3270,18.0123456790123,6464,35.6296296296296,9641,53.141975308642,2946,5822,8684,3270,6464,9641,10,10,40,1,400,4,2021-07-02T18:50:31+00:00,0
d2a4a7e2-1e0c-4017-8e41-a9ecd21e23d2_572,d2a4a7e21e0c40178e41a9ecd21e23d2,572,115000,90,3295,18.1666666666667,9640,53.1358024691358,6469,35.6604938271605,2968,8684,5828,3295,9640,6469,10,10,40,1,400,4,2021-07-03T04:54:45+00:00,0
d2a4a7e2-1e0c-4017-8e41-a9ecd21e23d2_685,d2a4a7e21e0c40178e41a9ecd21e23d2,685,117500,90,6466,35.641975308642,9658,53.2222222222222,3250,17.9135802469136,5824,8700,2928,6466,9658,3250,10,10,40,1,400,4,2021-09-27T07:47:12+00:00,0
d2a4a7e2-1e0c-4017-8e41-a9ecd21e23d2_686,d2a4a7e21e0c40178e41a9ecd21e23d2,686,117500,90,9665,53.2654320987654,6446,35.5185185185185,3306,18.2098765432099,8706,5806,2978,9665,6446,3306,10,10,40,1,400,4,2021-09-27T07:49:02+00:00,0
d2a4a7e2-1e0c-4017-8e41-a9ecd21e23d2_179,d2a4a7e21e0c40178e41a9ecd21e23d2,179,116500,90,5984,32.9876543209877,4230,23.320987654321,7838,43.1975308641975,5390,3810,7060,5984,4230,7838,7,10,37,1,400,4,2020-03-13T16:52:53+00:00,0
59ca311b-ca44-4206-a605-0a8c0fb3d659_685,59ca311bca444206a6050a8c0fb3d659,685,118000,90,6466,35.641975308642,9658,53.2222222222222,3250,17.9135802469136,5824,8700,2928,6466,9658,3250,10,10,40,1,400,4,2021-09-30T16:06:20+00:00,0
59ca311b-ca44-4206-a605-0a8c0fb3d659_574,59ca311bca444206a6050a8c0fb3d659,574,210750,90,3270,18.0123456790123,6464,35.6296296296296,9641,53.141975308642,2946,5822,8684,3270,6464,9641,5,10,35,1,400,4,2021-06-27T07:09:41+00:00,0
59ca311b-ca44-4206-a605-0a8c0fb3d659_686,59ca311bca444206a6050a8c0fb3d659,686,118000,90,9665,53.2654320987654,6446,35.5185185185185,3306,18.2098765432099,8706,5806,2978,9665,6446,3306,10,10,40,1,400,4,2021-09-30T16:06:20+00:00,0
59ca311b-ca44-4206-a605-0a8c0fb3d659_572,59ca311bca444206a6050a8c0fb3d659,572,562000,90,3295,18.1666666666667,9640,53.1358024691358,6469,35.6604938271605,2968,8684,5828,3295,9640,6469,10,10,40,1,400,4,2021-07-02T16:19:11+00:00,0
59ca311b-ca44-4206-a605-0a8c0fb3d659_108,59ca311bca444206a6050a8c0fb3d659,108,79800,90,7887,42.3271604938272,4484,24.0679012345679,6169,33.1111111111111,7126,4051,5573,7887,4484,6169,12,12,50,1,400,5,2019-08-30T23:41:52+00:00,0
9eb6e22e-44bb-4f0a-bd82-21a9b8dc0cf1_304,9eb6e22e44bb4f0abd8221a9b8dc0cf1,304,118000,90,6374,35.1234567901235,4507,24.8333333333333,8354,46.037037037037,5742,4060,7526,6374,4507,8354,10,10,40,1,400,4,2020-06-29T09:28:39+00:00,0
9eb6e22e-44bb-4f0a-bd82-21a9b8dc0cf1_408,9eb6e22e44bb4f0abd8221a9b8dc0cf1,408,118000,90,9601,52.9197530864198,6446,35.5185185185185,3280,18.0740740740741,8648,5806,2954,9601,6446,3280,10,10,40,1,400,4,2020-09-28T07:12:56+00:00,0
9eb6e22e-44bb-4f0a-bd82-21a9b8dc0cf1_572,9eb6e22e44bb4f0abd8221a9b8dc0cf1,572,118000,90,3295,18.1666666666667,9640,53.1358024691358,6469,35.6604938271605,2968,8684,5828,3295,9640,6469,10,10,40,1,400,4,2021-06-27T07:06:37+00:00,0
9eb6e22e-44bb-4f0a-bd82-21a9b8dc0cf1_685,9eb6e22e44bb4f0abd8221a9b8dc0cf1,685,118000,90,6466,35.641975308642,9658,53.2222222222222,3250,17.9135802469136,5824,8700,2928,6466,9658,3250,10,10,40,1,400,4,2021-09-27T07:45:57+00:00,0
9eb6e22e-44bb-4f0a-bd82-21a9b8dc0cf1_258,9eb6e22e44bb4f0abd8221a9b8dc0cf1,258,54400,70,4874,35.5102040816327,4877,35.534693877551,4901,35.730612244898,4252,4256,4276,4874,4877,4901,1,10,31,1,300,4,2020-04-16T16:10:02+00:00,0
971e604b-ca3c-41d7-b4c6-fa23d8f620a5_461,971e604bca3c41d7b4c6fa23d8f620a5,461,118000,90,3262,17.9876543209877,9631,53.0802469135803,6454,35.5679012345679,2938,8676,5814,3262,9631,6454,10,10,40,1,400,4,2020-12-27T03:09:40+00:00,0
971e604b-ca3c-41d7-b4c6-fa23d8f620a5_408,971e604bca3c41d7b4c6fa23d8f620a5,408,552500,90,9601,52.9197530864198,6446,35.5185185185185,3280,18.0740740740741,8648,5806,2954,9601,6446,3280,10,10,40,1,400,4,2020-09-29T12:54:58+00:00,0
971e604b-ca3c-41d7-b4c6-fa23d8f620a5_251,971e604bca3c41d7b4c6fa23d8f620a5,251,118000,90,6380,35.1604938271605,8315,45.820987654321,4527,24.9567901234568,5748,7490,4078,6380,8315,4527,10,10,40,1,400,4,2020-09-29T13:23:54+00:00,0
971e604b-ca3c-41d7-b4c6-fa23d8f620a5_572,971e604bca3c41d7b4c6fa23d8f620a5,572,638750,90,3295,18.1666666666667,9640,53.1358024691358,6469,35.6604938271605,2968,8684,5828,3295,9640,6469,10,10,40,1,400,4,2021-06-28T00:18:21+00:00,0
971e604b-ca3c-41d7-b4c6-fa23d8f620a5_379,971e604bca3c41d7b4c6fa23d8f620a5,379,79600,90,4267,23.5246913580247,6091,33.5740740740741,7916,43.6296296296296,3844,5486,7130,4267,6091,7916,10,10,40,1,400,4,2020-08-14T13:32:15+00:00,0
