id_,idol_type,card_id
9abf78829b5d4490b1c6b69e6fc1b0e4,3,9abf7882-9b5d-4490-b1c6-b69e6fc1b0e4_574
9abf78829b5d4490b1c6b69e6fc1b0e4,1,9abf7882-9b5d-4490-b1c6-b69e6fc1b0e4_686
9abf78829b5d4490b1c6b69e6fc1b0e4,2,9abf7882-9b5d-4490-b1c6-b69e6fc1b0e4_685
9abf78829b5d4490b1c6b69e6fc1b0e4,4,9abf7882-9b5d-4490-b1c6-b69e6fc1b0e4_572
75f421ca7df2426f8718d2d34baab527,2,75f421ca-7df2-426f-8718-d2d34baab527_685
75f421ca7df2426f8718d2d34baab527,3,75f421ca-7df2-426f-8718-d2d34baab527_408
75f421ca7df2426f8718d2d34baab527,1,75f421ca-7df2-426f-8718-d2d34baab527_462
75f421ca7df2426f8718d2d34baab527,4,75f421ca-7df2-426f-8718-d2d34baab527_685
d5777c5a352e4fe4947829daf01fd997,3,d5777c5a-352e-4fe4-9478-29daf01fd997_574
d5777c5a352e4fe4947829daf01fd997,1,d5777c5a-352e-4fe4-9478-29daf01fd997_572
d5777c5a352e4fe4947829daf01fd997,2,d5777c5a-352e-4fe4-9478-29daf01fd997_685
d5777c5a352e4fe4947829daf01fd997,4,d5777c5a-352e-4fe4-9478-29daf01fd997_686
9dd363fb903e4c9ab8c1177bb27cc5db,1,9dd363fb-903e-4c9a-b8c1-177bb27cc5db_686
9dd363fb903e4c9ab8c1177bb27cc5db,2,9dd363fb-903e-4c9a-b8c1-177bb27cc5db_685
9dd363fb903e4c9ab8c1177bb27cc5db,3,9dd363fb-903e-4c9a-b8c1-177bb27cc5db_408
9dd363fb903e4c9ab8c1177bb27cc5db,4,9dd363fb-903e-4c9a-b8c1-177bb27cc5db_572
e02283590359499f8533c4652345050e,2,e0228359-0359-499f-8533-c4652345050e_573
e02283590359499f8533c4652345050e,3,e0228359-0359-499f-8533-c4652345050e_574
e02283590359499f8533c4652345050e,1,e0228359-0359-499f-8533-c4652345050e_572
e02283590359499f8533c4652345050e,4,e0228359-0359-499f-8533-c4652345050e_572
34bfc7dd6b734af192b36988c3b18ac8,1,34bfc7dd-6b73-4af1-92b3-6988c3b18ac8_686
34bfc7dd6b734af192b36988c3b18ac8,2,34bfc7dd-6b73-4af1-92b3-6988c3b18ac8_685
34bfc7dd6b734af192b36988c3b18ac8,3,34bfc7dd-6b73-4af1-92b3-6988c3b18ac8_574
34bfc7dd6b734af192b36988c3b18ac8,4,34bfc7dd-6b73-4af1-92b3-6988c3b18ac8_572
fd960ccacc76433e9dfaea96768d848e,1,fd960cca-cc76-433e-9dfa-ea96768d848e_462
fd960ccacc76433e9dfaea96768d848e,2,fd960cca-cc76-433e-9dfa-ea96768d848e_409
fd960ccacc76433e9dfaea96768d848e,3,fd960cca-cc76-433e-9dfa-ea96768d848e_408
fd960ccacc76433e9dfaea96768d848e,4,fd960cca-cc76-433e-9dfa-ea96768d848e_572
d2a4a7e21e0c40178e41a9ecd21e23d2,3,d2a4a7e2-1e0c-4017-8e41-a9ecd21e23d2_574
d2a4a7e21e0c40178e41a9ecd21e23d2,1,d2a4a7e2-1e0c-4017-8e41-a9ecd21e23d2_572
d2a4a7e21e0c40178e41a9ecd21e23d2,2,d2a4a7e2-1e0c-4017-8e41-a9ecd21e23d2_685
d2a4a7e21e0c40178e41a9ecd21e23d2,4,d2a4a7e2-1e0c-4017-8e41-a9ecd21e23d2_686
59ca311bca444206a6050a8c0fb3d659,2,59ca311b-ca44-4206-a605-0a8c0fb3d659_685
59ca311bca444206a6050a8c0fb3d659,3,59ca311b-ca44-4206-a605-0a8c0fb3d659_574
59ca311bca444206a6050a8c0fb3d659,1,59ca311b-ca44-4206-a605-0a8c0fb3d659_686
59ca311bca444206a6050a8c0fb3d659,4,59ca311b-ca44-4206-a605-0a8c0fb3d659_572
9eb6e22e44bb4f0abd8221a9b8dc0cf1,2,9eb6e22e-44bb-4f0a-bd82-21a9b8dc0cf1_304
9eb6e22e44bb4f0abd8221a9b8dc0cf1,3,9eb6e22e-44bb-4f0a-bd82-21a9b8dc0cf1_408
9eb6e22e44bb4f0abd8221a9b8dc0cf1,1,9eb6e22e-44bb-4f0a-bd82-21a9b8dc0cf1_572
9eb6e22e44bb4f0abd8221a9b8dc0cf1,4,9eb6e22e-44bb-4f0a-bd82-21a9b8dc0cf1_685
971e604bca3c41d7b4c6fa23d8f620a5,2,971e604b-ca3c-41d7-b4c6-fa23d8f620a5_461
971e604bca3c41d7b4c6fa23d8f620a5,3,971e604b-ca3c-41d7-b4c6-fa23d8f620a5_408
971e604bca3c41d7b4c6fa23d8f620a5,1,971e604b-ca3c-41d7-b4c6-fa23d8f620a5_251
971e604bca3c41d7b4c6fa23d8f620a5,4,971e604b-ca3c-41d7-b4c6-fa23d8f620a5_572
d462926018fb4b72b9cbabd9c442f592,2,d4629260-18fb-4b72-b9cb-abd9c442f592_461
d462926018fb4b72b9cbabd9c442f592,3,d4629260-18fb-4b72-b9cb-abd9c442f592_574
d462926018fb4b72b9cbabd9c442f592,1,d4629260-18fb-4b72-b9cb-abd9c442f592_686
d462926018fb4b72b9cbabd9c442f592,4,d4629260-18fb-4b72-b9cb-abd9c442f592_572
